Company Name,Phone Number,Address,Website,Country
b'10hoch4 Energiesysteme GmbH',b'+43 676 3090780',"b'Gauermanngasse 20f, A-2700 Wr. Neustadt'",b'www.10hoch4.at',b'Austria'
b'1st Level Solar GmbH',b'+43 1 4168517',"b'Drewitzweg 12, 1140 Wien'",b'www.1stlevelsolar.com',b'Austria'
b'Adler Erik',b'+43 664 2341680',"b'Innovative Elektrotechnik, Kaiserweg 15, 6372 Oberndorf in Tirol'",b'www.adler-technik.at',b'Austria'
b'AES Energie Technik GmbH',b'+43 2872 754120',"b'Spitzer Stra\xc3\x9fe 24, 3631 Ottenschlag'",b'www.aes-energietechnik.at',b'Austria'
b'Air Toshiba',b'+43 2266 22260',"b'Schlossweg 1, 2100 Leobendorf'",b'https://www.air-toshiba.at',b'Austria'
b'Allmer GmbH',b'+43 7487 2241',"b'Unterer Markt 18, 3264, Gresten'",b'https://www.air-toshiba.at',b'Austria'
b'Alois & Peter Samhaber GesmbH',b'+43 7276 2768',"b'Untw\xc3\xbcsten 2, A-4722 Peuerbach'",b'www.samhaber-gmbh.at',b'Austria'
b'Alois Perwein GmbH',b'+43 6452 6401',"b'Untere Marktstra\xc3\x9fe 34, 5541 Altenmarkt im Pongau'",b'www.perwein.at',b'Austria'
b'Alpsan Vertriebs GmbH',b'+43 5232 2100160',"b'Messerschmittweg 38, 6175 Kematen in Tyrol'",b'https://www.alpsan.at',b'Austria'
b'Alternativ Installationen GmbH',b'+43 7734 34014',"b'Bergstra\xc3\x9fe 5, 4716 Hofkirchen an der Trattnach'",b'www.a-i.at',b'Austria'
b'Andreas Gretzel Elektro - Photovoltaik',b'+43 664 2378462',"b'95, Lichtenau, 3522'",b'www.photovoltaik-gretzel.at',b'Austria'
b'Andreas Kreiseder GmbH',b'+43 662 480276',"b'Untergrubstr 20, 5161 Elixhausen'",b'www.andreas-kreiseder.at',b'Austria'
b'APEM GmbH',b'+43 3337 33323',"b'Auweg 358, 8250 Vorau'",b'https://www.apem.at',b'Austria'
b'Appel GmbH',b'+43 2841 9001',"b'Titus Appel-Stra\xc3\x9fe 1, 3902 Vitis'",b'appel.at',b'Austria'
b'ARES - Energysystems GmbH',b'+43 699 10201021',"b'Mayerling 42, 2534, Alland'",b'www.ares-energysystems.com',b'Austria'
b'Austria Energy Group',b'+43 1 3363336',"b'Stubenring 18/10, 1010, Vienna'",b'https://www.austriaenergy.com',b'Austria'
b'AustroInstal Srl',b'+43 688 60777111',b'Hauptstrasse 29',b'www.austroinstal.ro',b'Austria'
b'Balmax Solar & Elektrotechnik',b'+43 2683 48980',"b'Industriegel\xc3\xa4nde 1, A-7082, Donnerskirchen'",b'www.balmax.at',b'Austria'
b'Bau & Dach GmbH Spenglerei - Dachdeckerei',b'+43 316 723130',"b'Weinitzenstra\xc3\x9fe 55, 8045, Graz'",b'www.bau-dach.at',b'Austria'
b'Baumgartner Energy GmbH',b'+43 7735 20256',"b'Bernhartsdorf 14, A-4673 Gaspoltshofen'",b'www.baum-energy.at',b'Austria'
b'Bayer GmbH',b'+43 2758 4010',"b'Hauptplatz 18, 3650, P\xc3\xb6ggstall'",b'www.bayer-installationen.com',b'Austria'
b'Bayer Elektrohandel GmbH',b'+43 7586 7281',"b'Vorchdorfer Stra\xc3\x9fe 16, 4643 Pettenbach'",b'https://www.elektrobayer.com',b'Austria'
b'BE-Tech',b'+43 676 3727610',"b'Jubil\xc3\xa4umsstrasse 3, A-2620, Mollram'",b'www.be-tech.at',b'Austria'
b'BF Elektrotechnik Gmbh',b'+43 699 10308291',"b'Rotschitzenstrasse 14, 9073 Klagenfurt'",b'www.bf-elektrotechnik.at',b'Austria'
b'Blaim GmbH',b'+43 2982 3667',"b'Zwettler Stra\xc3\x9fe 22, 3580 Horn'",b'www.solarprofi.at',b'Austria'
b'Blue-Solution GmbH',b'+43 2234 744680',"b'Viktor Adler Strasse 2, 2435 Ebergassing'",b'www.blue-solution.at',b'Austria'
b'Betriebsmontagen Dienstleistungen GmbH',b'+43 7248 61591',"b'Manglburg 15, 4710 Grieskirchen'",b'www.bmd.co.at',b'Austria'
b'BOS GmbH',b'+43 512 583872',"b'Ing. Etzel Strasse, Bogen 56 A, 6020, Innsbruck'",b'www.bos-technology.eu',b'Austria'
b'W\xc3\xa4rme- und Elektrotechnik Wilfried Boxrucker',b'+43 7713 505515',"b'Linden 4, A-4783, Wernstein am Inn'",b'www.boxrucker.at',b'Austria'
b'Bramac Dachsysteme International GmbH',b'+43 2757 40100',"b'Bramacstra\xc3\x9fe 9, A-3380, P\xc3\xb6chlarn'",b'www.bramac.com',b'Austria'
b'BRE Installationen Buchner-Raidel-Enzinger GesmbH',b'+43 6215 82150',"b'Mondseerstra\xc3\x9fe 1, 5204, Stra\xc3\x9fwalchen'",b'https://www.bre.at',b'Austria'
b'Breitsprecher Erneuerbare Energien GmbH',b'+43 699 13322441',"b'Lindengasse 64B, A-2230 G\xc3\xa4nserndorf'",b'www.breitsprecher.at',b'Austria'
b'Br\xc3\xbcder Gros',b'+43 1810 51000',"b'Hohenbergstra\xc3\x9fe 22, 1120, Wien'",b'https://www.bruedergros.at',b'Austria'
b'Dachdeckerei Spenglerei Brugger GmbH',b'+43 4762 81719',"b'An der Sandleiten 10, 9871, Seeboden am Millst\xc3\xa4tter See'",b'www.bruggerdach.at',b'Austria'
b'Brunner Max GmbH',b'+43 5242 64535',"b'Bergwerkstra\xc3\x9fe 4a, 6130 Schwaz'",b'www.haustechnik-brunner.at',b'Austria'
b'BW-Dach',b'+43 699 12980012',"b'Koschatstra\xc3\x9fe 44, 9800, Spittal an der Drau'",b'https://www.bw-dach.at',b'Austria'
b'Carbon Projektentwicklung GmbH',b'+43 2734 32270',"b'Seestra\xc3\x9fe 59, 3550 Langenlois'",b'www.carbon-austria.com',b'Austria'
b'Clean Capital Energy Group GmbH',b'+43 50 2640',"b'Klosterstrasse 2, 4451 Garsten'",b'https://at.cce.solar',b'Austria'
b'CCE \xc3\x96sterreich GmbH',b'+43 50 2640',"b'Klosterstra\xc3\x9fe 2, 4451 Garsten'",b'https://www.cc-energy.com',b'Austria'
b'Clicksolar GmbH',b'+43 463 740488',"b'Siegfried Marcus Stra\xc3\x9fe 5, 9065 Ebenthal in K\xc3\xa4rnten'",b'www.clicksolar.at',b'Austria'
b'Conversio GmbH',b'+43 4769 20834',"b'Hauptstra\xc3\x9fe 39, 9813 M\xc3\xb6llbr\xc3\xbccke'",b'conversioaustria.at',b'Austria'
b'CPG Competitive Power Generation GmbH',b'+43 1 9710971',"b'Lebererckstra\xc3\x9fe 35, 1140, Wien'",b'https://www.cpg-power.at',b'Austria'
b'CrossPower Energy GmbH',b'+43 2236 367633',"b'Hauptstra\xc3\x9fe 14, 2344, Maria Enzersdorf'",b'https://www.cpg-power.at',b'Austria'
b'Dachdeckerei Hans-Peter Felbermayer',b'+43 2236 41548',"b'Hauptstra\xc3\x9fe 120, 2371 Hinterbr\xc3\xbchl'",b'www.hpf-dach.at',b'Austria'
b'DAfi GmbH',b'+43 6458 20160',"b'Niedernfritzerstrasse 120, A-5531 Eben im Pongau'",b'www.dafi.at',b'Austria'
b'De Corti GmbH',b'+43 3465 3147',"b'Dietmannsdorf 28, 8543, St. Martin im Sulmtal'",b'https://www.decorti.at',b'Austria'
b'Die Elektroprofis',b'+43 650 3952865',"b'Brandwiesweg 5, 6383, Erpfendorf'",b'www.elektroprofis.at',b'Austria'
b'DieNeuen Bau & Haustechnik GmbH',b'+43 3179 27755',"b'Wiedenbergstra\xc3\x9fe 37, A-8162 Passail'",b'www.die-neuen.at',b'Austria'
b'Dillinger Installationstechnik',b'+43 2272 63328',"b'Ziegelfeldstra\xc3\x9fe 8, A-3430 Tulln'",b'www.dillinger.co.at',b'Austria'
b'Dino Energie GmbH',b'+43 669 13323333',"b'Schachnerstra\xc3\x9fe 20a, A-1220 Wien'",b'www.dino-energie.at',b'Austria'
b'Dipl. Ing. F. Legerer Installationstechnik GesmbH',b'+43 2282 8538',"b'Bahnstra\xc3\x9fe 9, 2230 G\xc3\xa4nserndorf'",b'www.haustechnik-legerer.at',b'Austria'
b'Dispo-projekts',b'+43 676 5441909',"b'Neustift bei Soo\xc3\x9f 2, 3383 H\xc3\xbcrm'",b'www.sonnenkw.at',b'Austria'
b'Doma Elektro Engineering GmbH',b'+43 7752 81097',"b'Roith 7, 4921, Hohenzell'",b'www.sonnenkw.at',b'Austria'
b'DOMA Solartechnik',b'+43 5524 53530',"b'Sonnenstrasse 1, 6822 Satteins, Vorarlberg'",b'www.domasolar.com',b'Austria'
b'Ing. Hans Drascher GmbH',b'+43 1 7987538',"b'Franzosengraben 11, 1030, Wien'",b'www.drascher.at',b'Austria'
b'E-klar Technologies GmbH',b'+43 7766 4444',"b'Riedfeldstra\xc3\x9fe 5, 4770 Andorf'",b'www.e-klar.com',b'Austria'
b'E-Natura GmbH',b'+43 676 3025582',"b'Ritter-Waldaufstr. 23a,  6112 Wattens'",b'www.e-natura.at',b'Austria'
b'E-Tech Demuth GmbH',b'+43 2142 20030',"b'Heidesiedlung 69, A-2422, Pama'",b'www.e-techdemuth.at',b'Austria'
b'E-Technik Laure GmbH',b'+43 463 511282',"b'Ankershofenstra\xc3\x9fe 2, 9020, Klagenfurt am W\xc3\xb6rthersee'",b'https://www.et-laure.at',b'Austria'
b'E-Werk Gleinst\xc3\xa4tten GmbH',b'+43 3457 40110',"b'A-8443, Gleinst\xc3\xa4tten 5'",b'www.ktg-austria.at',b'Austria'
b'E-Werk Gr\xc3\xb6bming',b'+43 3685 223430',"b'Hauptstra\xc3\x9fe 434, A-8962, Gr\xc3\xb6bming'",b'https://www.das-ewerk.at',b'Austria'
b'E. Kneidinger GmbH & Co. KG',b'+43 7223 85275',"b'Landstra\xc3\x9fe 3b, 4470 Enns'",b'www.elektro-kneidinger.at',b'Austria'
b'E.C.E. Wurmitzer GmbH',b'+43 4276 3663',"b'Pojedl 5, 9562, Himmelberg'",b'www.wurmitzer.at',b'Austria'
b'e.denzel GmbH',b'+43 316 273188',"b'Laubgasse 10, 8055 Graz'",b'www.e-denzel.at',b'Austria'
b'E1 W\xc3\xa4rme und Energie GmbH',b'+43 316 900055000',"b'Mitterstra\xc3\x9fe 180a, 8055 Graz'",b'www.e-eins.at',b'Austria'
b'EAH Elektro-Anlagen-Huber GmbH',b'+43 5442 62750',"b'Urichstra\xc3\x9fe 92, 6500, Landeck'",b'www.e-eins.at',b'Austria'
b'Elektro- Anlagen u. Verteilerbau GmbH',b'+43 7748 32214',"b'Hackenbuch 11-12, 5141 Moosdorf'",b'https://www.eav-gmbh.at',b'Austria'
b'Eco-Tec.at Photovoltaics GmbH',b'+43 3682 243640',"b'Altirdning \xc3\x96blarnerstra\xc3\x9fe 187, A-8952 Irdning'",b'www.eco-tec.at',b'Austria'
b'Ecowatt Erneuerbare Energien GmbH',b'+43 3124 541110',"b'Feldgasse 18, A-8111, Gratwein-Stra\xc3\x9fengel'",b'https://www.ecowatt.at',b'Austria'
b'Elektrotechnik Christoph Peer',b'+43 664 4244338',"b'Klachau 69, 8982 Bad Mitterndorf'",b'https://www.elektro-christophpeer.at',b'Austria'
b'Edirektsolar GmbH',b'+43 5574 23891',"b'Alte Strasse 22, A-6971, Hard'",b'www.edirektsolar.at',b'Austria'
b'EET-Knees GmbH & Co KG',b'+43 4224 23735',"b'G\xc3\xb6rtschitztal Stra\xc3\x9fe 108, 9064, Lassendorf'",b'https://www.eet-knees.at',b'Austria'
b'EGIP GmbH',b'+43 664 88187400',"b'St. Marein 127, A-9431 St. Stefan'",b'www.egip.at',b'Austria'
b'Ehoch2 Energy Engineering',b'+43 676 5342989',"b'Fl\xc3\xb6sserweg 17, 6423 M\xc3\xb6tz'",b'www.ehoch2.co.at',b'Austria'
b'Einsiedler Solartechnik GmbH',b'+43 7242 43284',"b'Katzbacher Str. 10, 4631 Katzbach'",b'www.einsiedler-solar.at',b'Austria'
b'ekt Photovoltaik Elektro und Kommunikationstechnik',b'+43 6244 20500',"b'Georgenberg 437, 5431 Kuchl, \xc3\x96sterreich'",b'www.ekt.at',b'Austria'
b'Elektro Tischner & Klein GmbH',b'+43 4242 550110',"b'Wiesensteig 19, A-9500, Villach'",b'www.etk.at',b'Austria'
b'Elando Elektrotechnik GmbH',b'+43 6582 21003',"b'Kehlbach 61, 5760, Saalfelden am Steinernen Meer'",b'www.etk.at',b'Austria'
b'Electric Maric GmbH',b'+43 316 824294',"b'Sch\xc3\xb6rgelgasse 7, 8010 Graz'",b'www.elektro-marics.at',b'Austria'
b'Electrical Engineering Leitinger Photovoltaik GmbH',b'+43 6583 20901',"b'Hirnreit 182, 5771 Leogang'",b'https://www.photovoltaik-elektrotechnik.at',b'Austria'
b'Electrical Engineering Thomas Ostermann GmbH',b'+43 664 2711117',"b'Marktstrasse 24, 2851, Krumbach'",b'www.thomasostermann.at',b'Austria'
b'Elekrtotechnik Fritz',b'+43 650 2025483',"b'Bundesstra\xc3\x9fe 236, 5505 M\xc3\xbchlbach am Hochk\xc3\xb6nig'",b'https://www.elektrofritz.at',b'Austria'
b'Elektrizit\xc3\xa4tswerk G\xc3\xb6sting V. Franz GmbH',b'+43 316 60770',"b'Viktor-Franz-Stra\xc3\x9fe 13-23, 8051, Graz'",b'www.ewg.at',b'Austria'
b'Elektro - Industrieanlagenbau GesmbH',b'+43 800 400171731',"b'Friedhofstra\xc3\x9fe 28, 4311 Schwertberg'",b'www.elektrofleischer.at',b'Austria'
b'Elektro & Electronic Brunm\xc3\xbcller GmbH',b'+43 7476 773200',"b'Mittlerer, Markt 2, 3361 Aschbach'",b'www.brunmueller.at',b'Austria'
b'Elektro Achorner GmbH',b'+43 5356 63326',"b'Pfarrfeld 2, A-6370 Reith / Kitzb\xc3\xbchel, Tirol'",b'https://www.elektro-achorner.at',b'Austria'
b'Elektro Antretter GmbH',b'+43 5334 6225',"b'Pfarrgasse 2, 6363, Westendorf'",b'elektro-antretter.at',b'Austria'
b'Elektro Auer GmbH',b'+43 1 6039200',"b'Himberger Stra\xc3\x9fe 224, 1100 Wien'",b'www.elektro-auer.com',b'Austria'
b'Elektro Babinsky KG',b'+43 2952 2146',"b'Pfarrgasse 12, 2020 Hollabrunn'",b'www.elektrobabinsky.at',b'Austria'
